StopID;StopArea;SiteID;Name;Long;Lat;Zone;Type;GTFS ID;GTFS Name;GTFS Long;GTFS Lat;Dist
12494;12437;12494;Siktgatan;59,3725955642;17,8596464798;A1;BUSTERM;7450897;Siktgatan;59,3725366652;17,8599598291;0,0172761871
12498;12489;12498;Solleftegatan;59,3570166042;17,8896398877;A1;BUSTERM;7450950;Solleftegatan;59,3573052397;17,8901150455;0,0271417398
12484;12484;12499;Mellangårdsvägen;59,3815440002;17,8797579168;A1;BUSTERM;7450944;Mellangårdsvägen;59,3815738937;17,8795663597;0,0105464524
12504;12504;12505;Armégatan;59,3520289385;18,0041774826;A1;BUSTERM;7450952;Armégatan;59,3519828114;18,0042450483;0,0037418596
12512;12511;12512;Arbrågatan;59,3686520098;17,8688552817;A1;BUSTERM;7450953;Arbrågatan;59,3685308503;17,8691296141;0,0152659066
12157;12157;12515;Voltavägen;59,3470673699;17,9674092833;A1;BUSTERM;7449197;Voltavägen;59,3471222627;17,9673426544;0,0037010504
12535;12535;12536;Skvadronsbacken;59,3736219828;17,9389223661;A1;BUSTERM;7450954;Skvadronsbacken;59,3736239021;17,9387995279;0,0067561458
12537;12537;12538;Duvkullavägen;59,3712844703;17,9412915825;A1;BUSTERM;7450955;Duvkullavägen;59,3712207225;17,9413405679;0,0027433694
12551;12021;12551;Alviksplan;59,3339123395;17,9728126436;A1;BUSTERM;7446263;Alviksplan;59,3336082694;17,9738128346;0,0561292567
12558;12338;12558;Artillerivägen;59,3780580034;17,9400104496;A1;BUSTERM;7450096;Artillerivägen;59,3784795123;17,9400371449;0,0036180439
12450;12301;12559;Vällingby;59,3634079226;17,8717031133;A1;BUSTERM;7421683;Vällingby T-bana;59,3632494827;17,8720630761;0,0201017052
12563;12563;12564;Ärvingevägen;59,3997174229;17,947077757;A1;BUSTERM;7450989;Ärvingevägen;59,3995712097;17,9472272219;0,0084792473
12572;12569;12572;Björnsonsgatan;59,3509455148;17,8863313825;A1;BUSTERM;7451048;Björnsonsgatan;59,3510710104;17,8863392704;0,0006243961
10643;10421;12573;Mariebergsgatan;59,3310963046;18,0233161308;A;BUSTERM;7446095;Mariebergsgatan;59,3315605589;18,02399684;0,0400469438
12579;12579;12580;Stora mossen;59,3348566236;17,9673189027;A1;BUSTERM;7421690;Stora Mossen T-bana;59,334534003;17,9661913665;0,0632739086
12001;12001;12582;Abrahamsberg;59,336145823;17,9523380141;A1;BUSTERM;7421689;Abrahamsberg T-bana;59,3366833714;17,9529521613;0,0372744938
12584;12583;12584;Åkeshov;59,3422875152;17,9249152173;A1;BUSTERM;7421688;Åkeshov T-bana;59,3420362516;17,9248997729;0,0016133545
12586;12585;12586;Ängbyplan;59,3421794649;17,9082962628;A1;BUSTERM;7421687;Ängbyplan T-bana;59,3418852252;17,9070477639;0,0697150171
12587;12587;12588;Vällingbydepån;59,3602381721;17,8739728045;A1;BUSTERM;7451050;Vällingbydepån;59,3606857761;17,8740530137;0,0068357355
12594;12173;12594;Islandstorget;59,3465216516;17,8945700345;A1;BUSTERM;7421686;Islandstorget T-bana;59,3458569263;17,894019574;0,0356218282
12590;12590;12595;Hässelby slott;59,366228602;17,8579775074;A1;BUSTERM;7444654;Hässelby slott Maltesholmsväg;59,3662554216;17,8579793362;0,0001092866
12497;12496;12596;Råcksta;59,3551103306;17,8824888058;A1;BUSTERM;7421684;Råcksta T-bana;59,3548066169;17,881819803;0,0379112816
12905;12905;12906;Slättens gård;59,2896322663;17,9479337179;A2;BUSTERM;7451101;Slättens gård;59,2896941004;17,9479904695;0,0031676033
12908;12907;12908;Västertorp;59,2904813957;17,9644865323;A2;BUSTERM;7445511;Västertorp;59,2904332544;17,9646767714;0,0104911935
12910;12909;12910;Slalomvägen;59,2913464553;17,9756524513;A2;BUSTERM;7451102;Slalomvägen;59,2912772304;17,9754902753;0,0089776644
12913;12912;12913;Västertorpsmotet;59,2887770918;17,9811054804;A2;BUSTERM;7445515;Västertorp Västertorpsmotet;59,2888400827;17,9810921577;0,0007807579
12977;12977;12977;Thorildsplan;59,3317038323;18,0160975658;A;BUSTERM;7421664;Thorildsplan T-bana;59,3318137193;18,0154370913;0,0364722042
10444;10437;12979;Kristineberg;59,3333069361;18,0030731784;A;BUSTERM;7421663;Kristineberg T-bana;59,3328111289;18,003181968;0,0089579102
12981;12980;12981;Sickla köpkvarter;59,3039831767;18,1296166144;A2;BUSTERM;7445902;Nacka Sickla köpkvarter;59,3042322382;18,128738221;0,0490622171
12527;12500;12983;Söderberga allé;59,3602192143;17,8937584084;A1;BUSTERM;7450951;Söderberga allé;59,3600935011;17,8943137185;0,0307332812
12985;12985;12985;Bromma sjukhus;59,3581944287;17,9001940843;A1;BUSTERM;7451113;Bromma sjukhus;59,3581946182;17,900176718;0,0009551452
13001;13001;13001;Bagarmossen;59,2765961554;18,1335052243;A2;BUSTERM;7421692;Bagarmossen T-bana;59,2762643434;18,1314649607;0,1135466952
13004;13003;13004;Stångåvägen;59,2758403008;18,1371032164;A2;BUSTERM;7451121;Stångåvägen;59,2760787413;18,1368214417;0,0161855445
13008;13007;13008;Byälvsvägen;59,2804180953;18,1332046011;A2;BUSTERM;7451140;Byälvsvägen;59,280453879;18,1332072536;0,0001613835
13009;13009;13010;Rusthållarvägen;59,280903914;18,1276221913;A2;BUSTERM;7451154;Rusthållarvägen;59,2808493803;18,1276537846;0,0017736148
13012;13011;13012;Vikstensvägen;59,2811634643;18,1216206397;A2;BUSTERM;7451162;Vikstensvägen;59,2814116314;18,1223045639;0,0383610298
13014;13013;13014;Gränsberget;59,2796544901;18,1160782814;A2;BUSTERM;7451163;Gränsberget;59,2797493271;18,1162954931;0,0120554684
13015;13015;13016;Statsrådsvägen;59,2799706491;18,1114143643;A2;BUSTERM;7451184;Statsrådsvägen;59,2797663671;18,1122957067;0,0489787815
13019;13019;13020;Åkervägen;59,2797005605;18,100779618;A2;BUSTERM;7451187;Åkervägen;59,2796454151;18,1008463073;0,0037047073
13023;13023;13024;Källvägen;59,2796218517;18,0863500361;A2;BUSTERM;7451189;Källvägen;59,2794114688;18,0865642937;0,0123197242
13025;13025;13026;Stockholmsvägen;59,2811081085;18,0809567697;A2;BUSTERM;7451213;Stockholmsvägen;59,2806099587;18,082222307;0,0726072051
13027;13027;13028;Murklevägen;59,2813227192;18,0774087286;A2;BUSTERM;7451216;Murklevägen;59,2813719549;18,0781843571;0,0426888975
13030;13029;13030;Plantskolevägen;59,2791917069;18,0744767088;A2;BUSTERM;7451220;Plantskolevägen;59,2794465392;18,0747921829;0,0181368447
13031;13031;13032;Svedmyra;59,2773662983;18,0694597877;A2;BUSTERM;7445502;Svedmyra;59,2774098344;18,0695330734;0,0040536459
13033;13033;13034;Postiljonsvägen;59,2725130413;18,0665937897;A2;BUSTERM;7451221;Postiljonsvägen;59,2725117309;18,0666640882;0,0038664409
