gtfsid,rt90-x,rt90-y
7400603,6975759.942,1604743.976
7400604,6831929.949,1526619.992
7400605,6537222.999,1597368.004
7400606,6456724.003,1432322.024
7400607,6434674.005,1420288.024
7400608,6465681.002,1411385.026
7400609,6359768.01,1419402.019
7400610,6528919.993,1448240.023
7400611,6475774.004,1361601.033
7400612,6717054.971,1589892.992
7400613,6724209.97,1588000.992
7400615,6817407.951,1530647.993
7400616,6469597.001,1469875.02
7400619,7063805.94,1703383.978
7400620,6407469.009,1408394.023
7400622,6581056.996,1628130.997
7400623,6597002.992,1619534.997
7400624,6355507.017,1363668.021
7400625,6322042.022,1343948.016
7400627,6709234.972,1589349.993
7400628,6480483,1446186.023
7400630,6686562.972,1533626.003
7400631,6697899.972,1566219.997
7400632,6778372.959,1549414.994
7400633,6733439.965,1543179.998
7400635,6769975.96,1547169.995
7400636,6789129.959,1571139.99
7400637,6758689.963,1572409.992
7400638,6646364.974,1451809.018
7400639,6794599.958,1571929.989
7400640,6710849.969,1550929.998
7400641,6735329.96,1480020.007
7400642,6434492.019,1287435.041
7400643,6669849.967,1420720.022
7400644,6730109.961,1482500.007
7400645,6788659.946,1431960.01
7400646,6787999.936,1347280.026
7400647,6864299.918,1337960.015
7400648,6784939.938,1360050.024
7400649,6686279.967,1453810.015
7400650,6740289.956,1448760.012
7400651,6420283.023,1693004.01
7400653,6982985.927,1461187.979
7400654,6726199.963,1498310.005
7400655,6736049.962,1505470.003
7400656,6785399.937,1355360.025
7400657,6845169.925,1358220.015
7400658,6787899.936,1348760.026
7400659,6686559.97,1501100.008
7400660,6606717.989,1597545.999
7400661,6675485.981,1632254.989
7400662,6662386.985,1655358.986
7400663,6230059.999,1490660.015
7400664,6700717.975,1614295.99
7400665,6630189.991,1662627.987
7400666,6627666.99,1644125.99
7400667,6612373.989,1608252.997
7400668,6697351.973,1578847.995
7400669,7023599.924,1452488.972
7400670,6677219.979,1616099.991
7400671,6674342.977,1576311.997
7400672,6684988.98,1641977.986
7400673,6610575.984,1523459.009
7400674,6647276.98,1558572.002
7400675,6608885.983,1502108.012
7400676,6589706.986,1516722.011
7400677,6592378.987,1529231.009
7400678,6660669.974,1506700.009
7400679,6632568.982,1546857.004
7400680,6622259.982,1535100.007
7400681,6638469.98,1535220.006
7400682,6671070.976,1562333.999
7400683,6657054.974,1490924.011
7400684,6591345.986,1508160.012
7400685,6647349.978,1526540.006
7400686,6968869.93,1474513.981
7400687,6600435.991,1603650.999
7400688,6929173.939,1527309.983
7400689,7482918.103,1617635.98
7400690,6576072.995,1614247.999
7400692,6570642.997,1631069.997
7400693,6577373.997,1639676.996
7400694,6548437.997,1586460.005
7400695,6668304.985,1667334.984
7400697,6396168.014,1358444.026
7400698,6581267.997,1647204.994
7400699,6563027.999,1633209.998
7400701,6589652.994,1622449.997
7400702,6570492.997,1624139.998
7400703,6593467.993,1620664.997
7400704,6676754.973,1528230.004
7400705,6590957.993,1615099.998
7400706,6560107.999,1632814.998
7400707,6794039.957,1555239.992
7400708,6616539.989,1619834.995
7400709,6553769.997,1600995.003
7400710,6594232.992,1613459.998
7400711,6250680.029,1315249.999
7400712,6581995.995,1626593.997
7400713,6617776.991,1638797.992
7400714,6585017.995,1632347.996
7400715,6548449.997,1592575.004
7400716,6588575.994,1626730.996
7400717,6578495.996,1632417.996
7400718,6594995.993,1620163.997
7400719,6533411.002,1623927.002
7400721,6564897.996,1604110.001
7400722,6845419.95,1561589.987
7400723,6237630.031,1305829.995
7400725,6588963.982,1351672.039
7400726,7365884.022,1551943.94
7400727,6533007.002,1623692.002
7400730,6580955.997,1639648.995
7400732,6150359.994,1403449.988
7400734,6662601.983,1626703.99
7400735,6658265.981,1597384.995
7400736,6646523.981,1564661.001
7400737,6624747.985,1584515.999
7400738,6560322.992,1539933.01
7400739,6608854.99,1617209.996
7400740,6592685.994,1627790.996
7400742,6158639.997,1397479.988
7400744,6247160.029,1312149.998
7400745,6243030.033,1300049.997
7400746,6164230.014,1335149.977
7400747,6210680.024,1323269.989
7400748,6565222.996,1611110
7400749,7435316.989,1858597.129
7400750,6154779.994,1407919.99
7400751,6575807.998,1642951.995
7400753,6822662.951,1529946.993
7400755,6247790.001,1538010.023
7400756,6278500.004,1522600.02
7400757,6568702.998,1634144.997
7400758,6591767.993,1621614.997
7400759,6584783.995,1625367.997
7400760,6285990.005,1518750.02
7400761,6544684,1614933.002
7400762,6313523.007,1535258.021
7400763,6373729.03,1280761.031
7400764,6586602.994,1618979.998
7400765,6579215.996,1628655.997
7400767,6351642.033,1278012.026
7400769,6364476.032,1278291.029
7400770,6360582.031,1281778.028
7400771,6254775.002,1483876.016
7400772,6572297.997,1624964.998
7400773,6584257.995,1623159.997
7400774,6569747.998,1632694.997
7400775,6566781.997,1619847.999
7400776,6566051.997,1616016
7400777,6555597.999,1628329.999
7400778,6571747.998,1638317.996
7400779,6593552.994,1628640.996
7400781,6586507.994,1624754.997
7400782,6602037.992,1618541.996
7400783,6603652.992,1628693.995
7400784,6589563.996,1644700.994
7400785,6655894.987,1667712.984
7400786,6584915.997,1653059.993
7400787,6557992.999,1631559.998
7400788,6598063.994,1641285.993
7400789,6575167.996,1625744.998
7400790,6542223,1620590.001
7400791,6564052.996,1606030.001
7400792,6535279.992,1420550.026
7400793,6561959.988,1446780.022
7400794,6552149.989,1433880.024
7400795,6559649.989,1484070.017
7400796,6549329.991,1473360.019
7400798,6571039.987,1451860.021
7400799,6540289.992,1456560.021
7400800,6570023.986,1410558.028
7400802,6736068.945,1324735.037
7400803,6593463.981,1352814.038
7400805,6675319.963,1371831.032
7400806,6650970.967,1338339.04
7400808,6757809.94,1325922.035
7400811,6626474.972,1294340.052
7400813,6470570.007,1331307.038
7400814,6652027.97,1409485.025
7400815,6611309.978,1382584.032
7400816,6612488.978,1415485.026
7400818,6577443.985,1327264.044
7400819,6477584.003,1368205.032
7400820,6580393.984,1366787.036
7400821,6701881.957,1360456.032
7400822,6566535.988,1314030.047
7400828,6738389.946,1339934.033
7400829,6495842.999,1395236.029
7400830,6565775.987,1340407.041
7400831,6688378.958,1331842.04
7400832,6441218.008,1365209.03
7400833,6557410.993,1552641.008
7400834,6183536.017,1336571.983
7400835,6390202.03,1268892.036
7400836,6520628.998,1556442.01
7400837,6531905,1600570.005
7400838,6760289.944,1367480.025
7400839,6546738.992,1503956.015
7400841,6485793.003,1565967.012
7400842,6935149.936,1506064.984
7400843,6451799.005,1558723.014
7400844,6460378.003,1540626.015
7400845,6419331.005,1502008.019
7400846,6490815.999,1509779.016
7400847,6504919.999,1538384.013
7400848,6504429.999,1534646.013
7400849,6479291,1498949.018
7400850,6487359.999,1482336.019
7400852,6382877.031,1269033.034
7400853,6487048,1509786.016
7400855,6523324.995,1506927.016
7400856,6495401.999,1505966.017
7400857,6447090.023,1244716.051
7400858,6452630.022,1243050.052
7400859,6439591.021,1265462.045
7400860,6404625.03,1253294.041
7400861,6406000.03,1252906.042
7400862,6446451.003,1450621.022
7400863,6867599.918,1343700.013
7400865,6401379.025,1285808.035
7400866,6503768.998,1511277.016
